id,section,type,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,extra_data
107,El Modelo de Negocio,Multiple Choice,"¿Cuál de los siguientes metamodelos expresa mejor la relación que existe entre un negocio, las líneas de negocio y los servicios de negocio?",,,,,,,"[""""]",
108,El Modelo de Negocio,Multiple Choice,"¿Cuál de los siguientes metamodelos expresa mejor la relación que existe entre un negocio, los actores y el portafolio de servicios?",,,,,,,"[""""]",
109,El Modelo de Negocio,Multi-Select,¿Cuáles de las siguientes frases representan de manera correcta un servicio de negocio?,Vender una suscripción anual a un gimnasio,Asesoría en arquitectura de negocio,Espacio en la nube,Alquilar apartamentos,Tener un adecuado servicio de post-venta,,"[""Alquilar apartamentos""]",
110,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes frases es verdadera?,La promesa de valor siempre tiene impacto en el modelo de negocio,La promesa de valor algunas veces tiene impacto en el modelo de negocio,La promesa de valor nunca tiene impacto en el modelo de negocio,La promesa de valor solo tiene impacto en el modelo estratégico,La promesa de valor está relacionada exclusivamente con los canales de relacionamiento,,"[""La promesa de valor algunas veces tiene impacto en el modelo de negocio""]",
111,El Modelo de Negocio,Multiple Choice,"El siguiente modelo de negocio:

corresponde a un negocio de:",Manufactura,Comercialización,Alquiler de bienes,Entrega de productos a domicilio,Logística inversa,,"[""Manufactura""]",
112,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes términos no corresponde a un tipo de objeto de negocio?,Educación,Producto físico,Bien físico durable,Dinero,Bienes intangibles,,"[""Educación""]",
113,El Modelo de Negocio,Short Answer,"Cuando un actor corresponde a una persona que sin ningún pago recibe valor del negocio de manera temporal o parcial, en un intento de la empresa de convertirlo en cliente, se denomina:",,,,,,,"[""prospecto""]",
114,El Modelo de Negocio,True/False,¿Los proveedores son un tipo particular de actor?,True,False,,,,,"[""False""]",
115,El Modelo de Negocio,Multiple Choice,"Para un almacén de ropa de bebé, cuál de las siguientes características no se puede considerar una promesa de valor?",El almacén vende la ropa más barata del mercado,El almacén tiene puntos de venta por toda la ciudad,El almacén vende productos de muy alta calidad,El almacén vende diseños únicos,El almacén tiene tercerizada toda la logística de entrega de productos,,"[""El almacén tiene tercerizada toda la logística de entrega de productos""]",
116,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes frases es falsa?,Una promesa de valor puede impactar varios modelos de la arquitectura de negocio,"Una promesa de valor tiene siempre asociada una intención, que refleja el beneficio para el cliente",Un negocio puede no tener ninguna promesa de valor,Un negocio puede tener a la vez múltiples promesas de valor,Una promesa de valor puede ser una estrategia de transformación de un negocio,,"[""Una promesa de valor puede ser una estrategia de transformación de un negocio""]",
117,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor el concepto de promesa de valor?,,,,,,,"[""""]",
118,El Modelo de Negocio,Multi-Select,"Cuando una promesa de valor impacta el modelo de negocio, esto se puede reflejar en cuáles de las siguientes modificaciones sobre la estructura de negocio:",Nuevos componentes,Nuevos canales,Nuevas actividades,Nuevas acciones estratégicas,Nuevas capacidades de negocio,,"[""Nuevos componentes"", ""Nuevos canales"", ""Nuevas actividades""]",
119,El Modelo de Negocio,True/False,Todas las promesas de valor tienen impacto en la estructura de negocio,True,False,,,,,"[""False""]",
120,El Modelo de Negocio,True/False,¿Darle al cliente una experiencia agradable en su relación con la empresa se puede considerar una promesa de valor?,True,False,,,,,"[""True""]",
121,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor la estructura de una ruta de un cliente?,,,,,,,"[""""]",
122,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes afirmaciones es FALSA?,Una ruta de cliente está compuesta por etapas,Cada servicio de negocio tiene asociada al menos una ruta de cliente,Cada etapa de una ruta de cliente incluye las acciones que puede ejecutar el cliente,Cada etapa de una ruta de cliente incluye las actividades que puede ejecutar el negocio,Algunas de las acciones de las rutas de los clientes las pueden ejecutar los participantes,,"[""Algunas de las acciones de las rutas de los clientes las pueden ejecutar los participantes""]",
123,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor lo que contiene una etapa de una ruta de cliente?,,,,,,,"[""""]",
124,El Modelo de Negocio,Multiple Choice,¿Cuál es el número mínimo de etapas que debe tener una ruta de cliente?,1,2,3,4,0,,"[""1""]",
125,El Modelo Financiero,Fill in the Blanks,La,,,,,,,"[""inflación""]",
126,El Modelo Financiero,Multi-Select,El presupuesto de una empresa representa el plan aprobado de la ejecución financiera para un año. Es una visión del compromiso de la empresa en cuanto a resultados financieros. Consta de cuáles de los siguientes componentes:,Modelo de ingresos y egresos,Balance proyectado,Flujo de caja proyectado,Estado de pérdidas y ganancias (P&G),Valor presente neto,,"[""Modelo de ingresos y egresos"", ""Balance proyectado"", ""Flujo de caja proyectado""]",
127,El Modelo Financiero,Matching,Asocie los términos con sus respectivas definiciones,,,,,,,,"{""matching_pairs"": [{""premise"": ""Egresos operacionales asociados directamente con la construcción y entrega del objeto del negocio"", ""response"": ""Costo""}, {""premise"": ""Egresos operacionales asociados con el funcionamiento de la empresa"", ""response"": ""Gasto""}, {""premise"": ""Egresos no relacionados con la actividad económica de la empresa"", ""response"": ""Egreso no operacional""}, {""premise"": ""Ingresos producto de la monetización del objeto del negocio"", ""response"": ""Ingreso operacional""}]}"
128,El Modelo Financiero,True/False,Utilidad bruta = ( ingresos operacionales - costos directos de los productos vendidos ),True,False,,,,,"[""True""]",
129,El Modelo Financiero,True/False,Margen bruto = ( utilidad bruta / egresos operacionales ),True,False,,,,,"[""False""]",
130,El Modelo Financiero,True/False,EBITDA = ( utilidad bruta - gastos operacionales ),True,False,,,,,"[""True""]",
131,El Modelo Financiero,Multi-Select,Los estados financieros son un reflejo del presente y el pasado de una empresa. Constan de cuáles de los siguientes componentes:,Estado de pérdidas y ganancias (P&G),Balance actual y balances históricos,Estado de la caja,Flujo de caja proyectado,Proyecciones de crecimiento de la empresa,,"[""Estado de pérdidas y ganancias (P&G)"", ""Balance actual y balances históricos"", ""Estado de la caja""]",
132,El Modelo Financiero,True/False,¿El EBITDA es una medida de qué tan endeudada se encuentra una empresa?,True,False,,,,,"[""False""]",
133,El Modelo Financiero,True/False,¿Los términos EBITDA y utilidad operacional son sinónimos?,True,False,,,,,"[""True""]",
134,El Modelo Financiero,Multiple Choice,La depreciación es:,La pérdida de valor de un activo como consecuencia del desgaste que sufre por su uso,La pérdida de valor de un pasivo como consecuencia del desgaste que sufre por su uso,El número de años antes de que un activo valga cero pesos en el balance,El número de años antes de que un pasivo valga cero pesos en el balance,El costo anual para una empresa de mantenimiento de un activo fijo,,"[""La pérdida de valor de un activo como consecuencia del desgaste que sufre por su uso""]",
135,El Modelo Financiero,Multiple Choice,La amortización es:,"El pago parcial que se va haciendo de una deuda, con pagos sucesivos mediante los cuales se va devolviendo el capital prestado","La forma como se deprecian los activos de una empresa, suavizando el impacto sobre el balance",Los intereses que debe pagar cada año una empresa sobre el capital que recibió prestado,Es la sincronización que debe hacer el área financiera entre el P&G y el balance general,La utilidad que se reparte como dividendos a los accionistas de la empresa,,"[""El pago parcial que se va haciendo de una deuda, con pagos sucesivos mediante los cuales se va devolviendo el capital prestado""]",
136,El Modelo Financiero,True/False,Utilidad neta = ( EBITDA - intereses - amortización - depreciación - impuestos ),True,False,,,,,"[""True""]",
137,El Modelo Financiero,True/False,¿Los términos rentabilidad y margen bruto son sinónimos?,True,False,,,,,"[""False""]",
138,El Modelo Financiero,True/False,Activo total = ( activo líquido + activo no corriente - pasivo líquido ),True,False,,,,,"[""False""]",
139,El Modelo Financiero,True/False,Capital de trabajo = ( activo corriente - pasivo corriente ),True,False,,,,,"[""True""]",
140,El Modelo Financiero,Multiple Choice,El patrimonio neto de una empresa se calcula de la siguiente manera:,Activo líquido - pasivo líquido,Activo total - pasivo total,Capital de trabajo + activo corriente,Activo líquido - pasivo total,Ninguno de los anteriores,,"[""Activo total - pasivo total""]",
141,El Modelo Financiero,Multiple Choice,Un pasivo es:,Una deuda con un tercero,Un activo que no se está usando,Un empleado que no trabaja bien,Un ahorro de la empresa,El capital de trabajo de la empresa,,"[""Una deuda con un tercero""]",
142,El Modelo Financiero,Multi-Select,Seleccione todos los elementos que pueden hacer parte del activo líquido de una empresa:,Cuentas corrientes,Cuentas de ahorros,Cuentas por cobrar,Inventarios,Cuentas por pagar,Intereses de deuda,"[""Cuentas corrientes"", ""Cuentas de ahorros"", ""Cuentas por cobrar"", ""Inventarios""]",
143,El Modelo Financiero,Matching,Asocie la formula con el nombre del indicador:,,,,,,,,"{""matching_pairs"": [{""premise"": ""Activo corriente / pasivo corriente"", ""response"": ""Razón corriente""}, {""premise"": ""Pasivo total / patrimonio"", ""response"": ""Apalancamiento financiero""}, {""premise"": ""Utilidad neta / patrimonio"", ""response"": ""ROE""}]}"
144,El Modelo Financiero,Multiple Choice,Un activo se considera líquido si:,Es un activo que puede ser convertido en dinero efectivo de forma inmediata sin pérdida significativa de su valor,Es un activo con un ROA asociado superior al 75%,Es un activo que debe pagarse en el corto plazo,Es un activo que debe ser almacenado en garrafas o botellas para que no se riegue,Es un activo de alto riesgo para la empresa,,"[""Es un activo que puede ser convertido en dinero efectivo de forma inmediata sin pérdida significativa de su valor""]",
145,El Modelo Financiero,True/False,"¿Los indicadores ROA y ROE miden lo mismo, solo que uno está en español y otro en inglés?",True,False,,,,,"[""False""]",
146,El Modelo Financiero,Multi-Select,"En el modelo de ingresos y egresos de una compañía, los ingresos pueden ser de los siguientes tipos:",Ingresos operacionales,Ingresos no operacionales,Ingresos contables,Ingresos netos,Ingresos a futuro,,"[""Ingresos operacionales"", ""Ingresos no operacionales""]",
147,El Modelo Financiero,True/False,¿Los costos directos son un rubro de los gastos operacionales de una empresa?,True,False,,,,,"[""False""]",
148,El Modelo Financiero,Multiple Choice,"En el modelo de ingresos y egresos de una empresa, los egresos no operacionales se definen como:",Egresos no relacionados con la actividad económica de la empresa,Egresos relacionados con el funcionamiento de la empresa,Egresos relacionados con las actividades estratégicas de la empresa,Egresos relacionados con las actividades misionales de la empresa,Egresos relacionados con las actividades gerenciales de la empresa,,"[""Egresos no relacionados con la actividad económica de la empresa""]",
149,El Modelo Financiero,Multiple Choice,¿Cuál de las siguientes frases es VERDADERA?,"ROA significa ""Return On Assets""",ROA = ROE - margen bruto,"ROA significa ""Return on Activities""",ROA = margen bruto / ROE,ROA = ROE / 2,,"[""ROA significa \""Return On Assets\""""]",
150,El Modelo Financiero,Multiple Choice,"Si en el balance de una empresa aparece que tiene un pasivo corriente de 50 millones y un activo corriente de 100 millones, la razón corriente es de:","0,5",1,2,50 millones,4 millones,,"[""2""]",
151,El Modelo Financiero,Multiple Choice,"Si una empresa tiene unos ingresos operacionales de 100 millones, unos costos directos de 25 millones, unos gastos operacionales de 40 millones y una depreciación de activos de 10 millones, su utilidad bruta es de:",75 millones,65 millones,35 millones,25 millones,15 millones,,"[""75 millones""]",
152,El Modelo Financiero,Multiple Choice,"Si una empresa tiene unos ingresos operacionales de 100 millones, unos costos directos de 25 millones, unos gastos operacionales de 40 millones y una depreciación de activos de 10 millones, su EBITDA es de:",35 millones,75 millones,25 millones,40 millones,10 millones,,"[""35 millones""]",
153,El Modelo Financiero,Multiple Choice,"Si en el balance de una empresa aparece que tiene un pasivo corriente de 50 millones, un activo corriente de 100 millones y un activo no corriente de 200 millones, el capital de trabajo es de:",No se puede calcular con esos datos,50 millones,250 millones,350 millones,500 millones,,"[""50 millones""]",
154,El Modelo Financiero,Multiple Choice,"La tasa de rendimiento es un ratio que mide la eficiencia de una empresa para producir beneficio, y se mide de la siguiente manera:",Utilidad neta / ingresos operacionales,Utilidad bruta / ingresos operacionales,Utilidad operacional / ingresos operacionales,Utilidad bruta / ingresos no operacionales,EBITDA / capital de trabajo,,"[""Utilidad neta / ingresos operacionales""]",
155,El Modelo Financiero,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor el modelo de ingresos y egresos de una empresa?,,,,,,,"[""""]",
156,El Modelo Financiero,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor el balance de una empresa?,,,,,,,"[""""]",
157,El Modelo Financiero,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor el flujo de caja de una empresa?,,,,,,,"[""""]",
158,El Modelo Financiero,True/False,¿Es posible construir el metamodelo del modelo financiero de una empresa,True,False,,,,,"[""True""]",
159,El Modelo Financiero,Multi-Select,"Si una empresa tiene ingresos de $100, costos directos de $30 y gastos operativos de $25, ¿Cuáles de las siguientes afirmaciones son ciertas?",El %EBITDA de la empresa es del 45%,El margen bruto de la empresa es de $70,La utilidad operacional de la empresa es de $45,El %EBITDA de la empresa es del 70%,La utilidad operacional de la empresa es de $70,,"[""El %EBITDA de la empresa es del 45%"", ""El margen bruto de la empresa es de $70"", ""La utilidad operacional de la empresa es de $45""]",
160,El Modelo Financiero,Fill in the Blanks,"Si una empresa tiene ingresos de $100, costos directos de $30 y gastos operativos de $25, su EBITDA es de $",,,,,,,"[""45"", ""$45""]",
161,El Modelo Financiero,Fill in the Blanks,"Si una empresa tiene ingresos de $100, costos directos de $30 y gastos operativos de $25, su margen bruto es de $",,,,,,,"[""70"", ""$70""]",
162,El Modelo Financiero,Multiple Choice,"Si una empresa tiene una utilidad neta de $10 y un patrimonio de $1000, el ROE de esa empresa es:",11%,9%,10%,1%,0.1%,,"[""1%""]",
163,El Modelo Financiero,Multiple Choice,"¿Si una empresa tiene un EBITDA del 20%, unos ingresos de $100, no tiene ninguna deuda ni depreciación y paga el 50% de impuestos, la utilidad neta será de:",10,5,20,15,1,,"[""10""]",
164,El Modelo Financiero,Multiple Choice,"¿Si una empresa tiene unos ingresos de $100, no tiene ninguna deuda ni depreciación, paga el 50% de impuestos, y espera que la utilidad neta sea de $10, cuál debe ser su EBITDA?",20%,15%,25%,10%,5%,,"[""20%""]",
165,El Modelo Estratégico,Multiple Choice,La situación objetivo de una empresa se define usando:,Indicadores de logro,Indicadores de ejecución,Indicadores de avance,Indicadores operativos,Indicadores de riesgo,,"[""Indicadores de logro""]",
166,El Modelo Estratégico,Multi-Select,¿Cuáles de las siguientes frases son verdaderas?,"Una estrategia es un grupo estructurado y coordinado de acciones estratégicas, organizadas en una línea de tiempo","Cada una de las acciones estratégicas de un plan tiene  la intención de aportar parcialmente en el logro del estado objetivo, moviendo uno o varios de los indicadores",La planeación estratégica es el proceso que siguen las empresas para construir su estrategia,Un modelo estratégico es el conjunto de artefactos que especifican una estrategia,"Si una empresa ejecuta el plan contenido en el modelo estratégico, es seguro que va a alcanzar la situación objetivo",,"[""Una estrategia es un grupo estructurado y coordinado de acciones estratégicas, organizadas en una línea de tiempo"", ""Cada una de las acciones estratégicas de un plan tiene  la intención de aportar parcialmente en el logro del estado objetivo, moviendo uno o varios de los indicadores"", ""La planeación estratégica es el proceso que siguen las empresas para construir su estrategia"", ""Un modelo estratégico es el conjunto de artefactos que especifican una estrategia""]",
167,El Modelo Estratégico,Fill in the Blanks,Hay dos variables que se asocian con la ejecución de una acción estratégica: la,,,,,,,"[""extensión"", ""intensidad"", ""intensidad"", ""extensión""]",
168,El Modelo Estratégico,Multi-Select,¿Cuáles de las siguientes son características de una acción estratégica?,Proporcionalidad entre el tamaño de la acción (en extensión e intensidad) y el tamaño del resultado,"Sostenibilidad del resultado cuando se deja de ejecutar la
acción","Probabilidad (nivel de certeza) de obtener el resultado si se
ejecuta la acción",Alineación con la visión de la empresa,Definición del responsable de ejecutarla y de los plazos para llevarla a cabo,,"[""Proporcionalidad entre el tamaño de la acción (en extensión e intensidad) y el tamaño del resultado"", ""Sostenibilidad del resultado cuando se deja de ejecutar la\nacción"", ""Probabilidad (nivel de certeza) de obtener el resultado si se\nejecuta la acción""]",
169,El Modelo Estratégico,True/False,¿La eficiencia en costo de una acción estratégica se mide como el costo de ejecutar la acción dividido por el cambio en el indicador que se pretende mover?,True,False,,,,,"[""True""]",
170,El Modelo Estratégico,Multi-Select,¿Cuáles de las siguientes se consideran categorías de acciones estratégicas?,Mejorar la implementación actual del modelo de negocio,Competir,Transformar el negocio,"Aumentar el margen bruto de la empresa, disminuyendo los costos",Integración vertical hacia adelante y hacia atrás,,"[""Mejorar la implementación actual del modelo de negocio"", ""Competir"", ""Transformar el negocio""]",
171,El Modelo Estratégico,Fill in the Blanks,Una,,,,,,,"[""barrera""]",
172,El Modelo Estratégico,Fill in the Blanks,Un,,,,,,,"[""inhibidor""]",
173,El Modelo Estratégico,Fill in the Blanks,Una,,,,,,,"[""ventana de oportunidad""]",
174,El Modelo Estratégico,Multiple Choice,¿Cuál de los siguientes componentes no hace parte de un modelo estratégico?,Componente motivacional,Componente de objetivos,Componente de ejecución,"Componente de medición, seguimiento y gobierno",Componente de análisis estratégico empresarial,,"[""Componente de análisis estratégico empresarial""]",
175,El Modelo Estratégico,Multi-Select,¿Cuáles de los siguientes elementos no hacen parte del componente motivacional del modelo estratégico?,Propósito superior,Visión,Misión,Objetivos estratégicos,Diagrama de Gantt,,"[""Objetivos estratégicos"", ""Diagrama de Gantt""]",
176,El Modelo Estratégico,Multiple Choice,"Para el componente motivacional del modelo estratégico, ¿cuál de las siguientes afirmaciones es falsa?",El objetivo retador plantea a muy alto nivel un conjunto de logros que reflejan las ambiciones de la empresa,El objetivo retador se conoce también como la mega,El objetivo retador debe estar cuantificado y fijar un horizonte de tiempo,"El objetivo retador busca conectarse con la parte creativa, audaz y ambiciosa de las personas",El objetivo retador es una parte fundamental de la visión de la empresa,,"[""El objetivo retador es una parte fundamental de la visión de la empresa""]",
177,El Modelo Estratégico,Fill in the Blanks,El componente de,,,,,,,"[""objetivos"", ""horizonte"", ""plazo""]",
178,El Modelo Estratégico,Fill in the Blanks,"Dentro del componente de objetivos del modelo estratégico, cada objetivo está expresado como un conjunto de",,,,,,,"[""metas"", ""indicadores"", ""idicadores de logro""]",
179,El Modelo Estratégico,True/False,¿La propuesta de valor de una empresa se expresa como un conjunto de decisiones estratégicas?,True,False,,,,,"[""True""]",
180,El Modelo Estratégico,Fill in the Blanks,La,,,,,,,"[""propuesta de valor"", ""promesa de valor""]",
181,El Modelo Estratégico,Fill in the Blanks,Un,,,,,,,"[""diagrama de Gantt""]",
182,El Modelo Estratégico,True/False,¿Los indicadores de ejecución sirven para medir el avance logrado en los indicadores de logro?,True,False,,,,,"[""False""]",
183,El Modelo Estratégico,True/False,¿El gobierno de un modelo estratégico se encarga de hacer seguimiento a la ejecución de las acciones estratégicas y de los resultados que se van obteniendo?,True,False,,,,,"[""False""]",
184,El Modelo Estratégico,True/False,¿Cada acción estratégica debe declarar el conjunto de indicadores de logro que pretende mover y el aporte que espera hacer en ese movimiento?,True,False,,,,,"[""True""]",
185,El Modelo Estratégico,True/False,"¿Los términos ""modelo estratégico"" y ""planeación estratégica"" son sinónimos?",True,False,,,,,"[""False""]",
186,El Modelo Estratégico,Fill in the Blanks,Una,,,,,,,"[""estrategia""]",
187,El Modelo Estratégico,Multiple Choice,"¿A qué se refiere el término de ""efecto de borde"" cuando se habla de una acción estratégica?",Consecuencias no previstas de ejecutar una acción estratégica,Cálculo de la frontera (borde) de una acción estratégica,Límite (borde) hasta el cual se puede llevar una acción estratégica en extensión,Límite (borde) hasta el cual se puede llevar una acción estratégica en intensidad,Determina si la acción estratégica está en el borde de la legalidad,,"[""Consecuencias no previstas de ejecutar una acción estratégica""]",
188,El Modelo Estratégico,Multiple Choice,La eficiencia en costo de una acción estratégica se mide como:,Costo de ejecutar la acción dividido por el cambio en el indicador de ejecución de la acción estratégica,Costo de ejecutar la acción multiplicado por el indicador de logro asociado,Costo de ejecutar la acción dividido por el cambio en el indicador de logro asociado,Costo de ejecutar la acción menos el costo de no ejecutarla,Ninguna de las anteriores,,"[""Costo de ejecutar la acción dividido por el cambio en el indicador de logro asociado""]",
189,El Modelo Estratégico,Multiple Choice,La posible interferencia entre dos acciones estratégicas sucede cuando:,La ejecución de una acción estratégica A1 debe hacerse antes de la ejecución de la acción estratégica A2,La ejecución de una acción estratégica A1 debe hacerse en paralelo con la ejecución de la acción estratégica A2,La ejecución de una acción estratégica A1 puede tener un impacto positivo en la ejecución de otra acción estratégica A2,La ejecución de una acción estratégica A1 puede tener un impacto negativo en la ejecución de otra acción estratégica A2,Ninguna de las anteriores,,"[""La ejecución de una acción estratégica A1 puede tener un impacto negativo en la ejecución de otra acción estratégica A2""]",
190,El Modelo Estratégico,True/False,"¿Los términos ""barrera"" e ""inhibidor"" son sinónimos en los procesos de planeación estratégica?",True,False,,,,,"[""False""]",
191,El Modelo Estratégico,Multiple Choice,"Cuando se logra crear un nuevo mercado (usando una estrategia de innovación), que permitió introducir nuevos productos y servicios, se dice que se ha creado:",Un océano azul,Un océano verde,Un océano rojo,Un mar de plata,Una transformación digital,,"[""Un océano azul""]",
192,El Modelo Estratégico,Multiple Choice,"¿Cuál de los siguientes términos representa una metáfora para describir la ocurrencia de un suceso altamente improbable, sorpresivo y de gran impacto",Cisne negro,Pájaro de mal agüero,Gallina desplumada,Águila calva,,,"[""Cisne negro""]",
193,El Modelo Estratégico,Fill in the Blanks,La,,,,,,,"[""visión"", ""vision""]",
194,El Modelo Estratégico,Multiple Choice,¿Cuál de los siguientes metamodelos expresa mejor el hecho de que una acción estratégica puede ser compuesta?,,,,,,,"[""""]",
195,El Modelo Estratégico,Multiple Choice,¿Qué representa el siguiente metamodelo?,Eso no es un metamodelo,El modelo estratégico de una empresa,El plan estratégico de una empresa,El modelo de transformación de una empresa,La estrategia de una empresa,,"[""Eso no es un metamodelo""]",
196,El Modelo Estratégico,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor el componente de objetivos de un modelo estratégico?,,,,,,,"[""""]",
197,El Modelo Estratégico,Multiple Choice,La propuesta de valor de un negocio se expresa con:,Un conjunto de decisiones estratégicas,Un conjunto de acciones estratégicas,Un conjunto de acciones tácticas,Un conjunto de indicadores de logro,Un conjunto de objetivos y metas,,"[""Un conjunto de decisiones estratégicas""]",
198,El Modelo Estratégico,Fill in the Blanks,El componente de,,,,,,,"[""promesa de valor"", ""propuesta de valor""]",
199,El Modelo Estratégico,Multiple Choice,El grafo de dependencias ordena:,Brechas,Estrategias,Drivers,Escenarios de negocio,Objetivos estratégicos,,"[""Brechas""]",
200,El Modelo Estratégico,Multi-Select,¿Cuáles de los siguientes se consideran indicadores de logro dentro del modelo estratégico de un negocio de comercialización de productos?,Ventas al año,Número de clientes nuevos,Número de quejas de los clientes,Número de campañas publicitarias desarrolladas,Tasa de cambio del dólar,,"[""Ventas al año"", ""Número de clientes nuevos"", ""Número de quejas de los clientes""]",
201,El Modelo Estratégico,Multi-Select,Seleccione las dos variables que se asocian con la ejecución de una acción estratégica:,Extensión de la acción,Intensidad de la acción,Hipótesis de la acción,Participantes en la acción,Reacción de los competidores frente a la acción,,"[""Extensión de la acción"", ""Intensidad de la acción""]",
202,El Modelo Estratégico,Multiple Choice,La eficiencia en costo de una acción estratégica se mide de la siguiente manera:,Costo de ejecutar la acción dividido por el cambio en el indicador asociado,Cambio en el indicador asociado multiplicado por el costo de ejecutar la acción,Costo de ejecutar la acción dividido por las nuevas ventas hechas por la compañía,Nuevas ventas hechas por la compañía dividido por el costo de ejecutar la acción,Costo de ejecutar la acción dividido por el número de clientes nuevos,,"[""Costo de ejecutar la acción dividido por el cambio en el indicador asociado""]",
203,El Modelo Estratégico,True/False,¿Dos acciones estratégicas bien definidas no pueden tener interferencias entre ellas?,True,False,,,,,"[""False""]",
204,El Modelo Estratégico,Multi-Select,¿Cuáles de los siguientes se consideran indicadores de ejecución para un negocio de comercialización de productos físicos?,Aumento en las ventas,Número de campañas de publicidad ejecutadas,EBITDA de la empresa,Tasa de cambio del dólar,Número de quejas de los clientes,,"[""Número de campañas de publicidad ejecutadas""]",
205,El Mapa de Capacidades,Multiple Choice,¿Cuál de las siguientes frases es FALSA?,Una capacidad de negocio (business capability) es una habilidad individual que tiene (o debe tener) el negocio para poder llevar a cabo su intención,"Una capacidad se debe expresar como una acción, no como un objetivo",Una capacidad debe expresar con claridad la manera como se va a implementar,Una capacidad es neutra con respecto a su logro,,,"[""Una capacidad debe expresar con claridad la manera como se va a implementar""]",
206,El Mapa de Capacidades,Multi-Select,¿Cuáles de las siguientes afirmaciones son ciertas?,Las capacidades son independientes entre sí,Las capacidades son estables en el tiempo,Las capacidades se expresan desde el punto de vista de la empresa,Hay una relación uno a uno entre servicios de negocio y capacidades de negocio,Hay una relación uno a uno entre procesos de negocio y capacidades de negocio,,"[""Las capacidades son independientes entre sí"", ""Las capacidades son estables en el tiempo"", ""Las capacidades se expresan desde el punto de vista de la empresa""]",
207,El Mapa de Capacidades,Fill in the Blanks,Las capacidades pueden ser de tres tipos:,,,,,,,"[""misionales"", ""estratégicas"", ""estratégicas"", ""misionales"", ""funcionamiento""]",
208,El Mapa de Capacidades,True/False,"¿Las capacidades estratégicas corresponden a acciones que van a permitir producir valor al negocio en algún momento más adelante, pero que no producen valor hoy de manera directa?",True,False,,,,,"[""True""]",
209,El Mapa de Capacidades,Fill in the Blanks,El nivel de,,,,,,,"[""granularidad""]",
210,El Mapa de Capacidades,Multiple Choice,¿Cuál de las siguientes afirmaciones es falsa?,Una capacidad crítica es una capacidad sobre la que hay una dependencia muy grande del negocio para que éste pueda ser exitoso,Las capacidades críticas corresponden normalmente a capacidades misionales o estratégicas,"Dentro de los centenares de capacidades que debe implementar la empresa para que funcione, hay algunas de particular importancia, en donde la empresa no se puede equivocar o corre el riesgo de no sobrevivir. Estas son las capacidades críticas",Las capacidades críticas siempre están asociadas con los procesos de negocio de la empresa,,,"[""Las capacidades críticas siempre están asociadas con los procesos de negocio de la empresa""]",
211,El Mapa de Capacidades,True/False,¿El catálogo de capacidades y el mapa de capacidades son el mismo artefacto?,True,False,,,,,"[""False""]",
212,El Mapa de Capacidades,Multi-Select,¿Con cuáles de los siguientes elementos se implementa una capacidad de negocio?,Empleados (del modelo organizacional),Procedimientos (del modelo de procesos),Recursos,Procesos de negocio,Servicios de negocio,,"[""Empleados (del modelo organizacional)"", ""Procedimientos (del modelo de procesos)"", ""Recursos""]",
213,El Mapa de Capacidades,True/False,¿Hay capacidades que no requieren de empleados de la empresa para su implementación?,True,False,,,,,"[""True""]",
214,El Mapa de Capacidades,Multi-Select,¿Cuáles de las siguientes afirmaciones son falsas?,El mapa de capacidades de negocio es una estructura jerárquica en la que se clasifican las capacidades de un negocio para facilitar su uso y administración,"El mapa de capacidades está compuesto por un conjunto de paquetes, cada uno de los cuales tiene un identificador y un nombre",Las capacidades de negocio están en el último nivel de la estructura jerárquica definida en un mapa de capacidades,Un mapa de capacidades debe tener 300 capacidades y 10 paquetes,Una misma capacidad puede aparecer en más de un punto del mapa de capacidades,,"[""Un mapa de capacidades debe tener 300 capacidades y 10 paquetes"", ""Una misma capacidad puede aparecer en más de un punto del mapa de capacidades""]",
215,El Mapa de Capacidades,Multi-Select,¿Cuáles de las siguientes afirmaciones son verdaderas?,"Las capacidades deben ser disyuntas, en el sentido de que no debe existir ninguna que sea parte de otra (que esté incluida) o que dos capacidades representen acciones con actividades en común (la intersección debe ser vacía)",Las capacidades que se encuentran en un mismo paquete deben tener entre ellas un alto nivel de cohesión,El número de niveles de un mapa de capacidades puede variar,"El mapa de capacidades de un empresa es único, en el sentido de que solo existe uno que es correcto",En el primer nivel de un mapa de capacidades siempre hay 10 paquetes,,"[""Las capacidades deben ser disyuntas, en el sentido de que no debe existir ninguna que sea parte de otra (que esté incluida) o que dos capacidades representen acciones con actividades en común (la intersección debe ser vacía)"", ""Las capacidades que se encuentran en un mismo paquete deben tener entre ellas un alto nivel de cohesión"", ""El número de niveles de un mapa de capacidades puede variar""]",
